file,center_x_um,center_x_um_err,center_y_um,center_y_um_err,angle_deg,angle_deg_err,main_profile_length_um,main_profile_width_um,ortho_profile_length_um,ortho_profile_width_um,main_fwhm_um,main_fwhm_um_err,main_fwhm_gauss_um,main_fwhm_gauss_um_err,ortho_fwhm_um,ortho_fwhm_um_err,ortho_fwhm_gauss_um,ortho_fwhm_gauss_um_err,main_criteria,ortho_criteria,shot_number,center_x_um_centered,center_y_um_centered,center_x_um_err_total,center_y_um_err_total,ortho_fwhm_um_err_total,ortho_fwhm_gauss_um_err_total,main_fwhm_um_err_total,main_fwhm_gauss_um_err_total,fwhm_diff
spool 0.001_26_Spooled files.tif,358.993,0.203,273.125,0.041,1.575,0.069,113.75,1.625,12.025,3.25,32.201,0.177,32.992,0.196,4.027,0.221,4.114,0.071,Длина профиля оптимальна.; Ошибка FWHM (0.6%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (5.5%) в норме.,26,0.24090909090892865,-0.5248454545454706,0.2937453491715048,0.21623674562823336,0.30646097656943094,0.22387123566883105,0.2764169498418816,0.28895212433877226,0.1626454545454572
spool 0.001_27_Spooled files.tif,357.827,0.203,274.014,0.041,1.293,0.069,113.75,1.625,12.025,3.25,31.944,0.19,33.537,0.2,4.063,0.241,4.153,0.09,Длина профиля оптимальна.; Ошибка FWHM (0.6%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (5.9%) в норме.,27,-0.9250909090910682,0.3641545454545394,0.2937453491715048,0.21623674562823336,0.3211827052627356,0.23060210354610663,0.28491635642744223,0.2916801847227358,0.2016454545454569
spool 0.001_28_Spooled files.tif,358.645,0.198,273.433,0.042,1.393,0.071,113.75,1.625,12.025,3.25,31.319,0.237,33.224,0.236,3.943,0.242,3.96,0.054,Длина профиля оптимальна.; Ошибка FWHM (0.8%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (6.1%) в норме.,28,-0.10709090909108454,-0.21684545454547788,0.2903124698663309,0.2164285798130397,0.3219337356660362,0.2190738007153966,0.31819228488429646,0.3174481534989443,0.008645454545457287
spool 0.001_29_Spooled files.tif,359.396,0.203,273.265,0.041,1.07,0.068,113.75,1.625,12.025,3.25,30.691,0.185,32.2,0.193,3.831,0.265,3.934,0.067,Длина профиля оптимальна.; Ошибка FWHM (0.6%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (6.9%) в норме.,29,0.6439090909089487,-0.38484545454548424,0.2937453491715048,0.21623674562823336,0.3395619680704677,0.22263497065800175,0.28160669409637495,0.2869256526696233,0.017354545454542514
spool 0.001_30_Spooled files.tif,358.916,0.203,273.4,0.041,1.515,0.068,113.75,1.625,12.025,3.25,31.631,0.998,32.423,0.201,3.715,0.276,3.888,0.061,Длина профиля оптимальна.; Ошибка FWHM (3.2%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (7.4%) в норме.,30,0.16390909090893047,-0.24984545454549334,0.2937453491715048,0.21623674562823336,0.34821448872769395,0.22090344080590799,1.0203339307108674,0.29236677335136646,0.06335454545454278
spool 0.001_31_Spooled files.tif,358.17,0.2,273.778,0.041,1.475,0.07,113.75,1.625,12.025,3.25,33.195,0.234,32.662,0.183,3.81,0.248,3.96,0.065,Длина профиля оптимальна.; Ошибка FWHM (0.7%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (6.5%) в норме.,31,-0.5820909090910504,0.1281545454545494,0.2916801847227358,0.21623674562823336,0.3264679619195263,0.2220412803059136,0.3159641279637442,0.28029686077423216,0.008645454545457287
spool 0.001_32_Spooled files.tif,358.897,0.202,273.313,0.041,1.85,0.068,113.75,1.625,12.025,3.25,30.118,0.258,32.364,0.178,4.117,0.318,4.099,0.063,Длина профиля оптимальна.; Ошибка FWHM (0.9%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (7.7%) в норме.,32,0.144909090908925,-0.3368454545454824,0.2930551657280405,0.21623674562823336,0.38236282528495014,0.22146406065068278,0.33412771534233626,0.2770583515432973,0.14764545454545752
spool 0.001_33_Spooled files.tif,359.549,0.199,274.067,0.042,1.32,0.071,113.75,1.625,12.025,3.25,32.441,0.68,32.448,0.213,3.932,0.247,3.977,0.052,Длина профиля оптимальна.; Ошибка FWHM (2.1%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (6.3%) в норме.,33,0.7969090909089118,0.4171545454545367,0.2909954126096996,0.2164285798130397,0.3257089654275567,0.21858940999025844,0.7123744311525291,0.3007429636082768,0.02564545454545719
spool 0.001_34_Spooled files.tif,359.321,0.197,274.156,0.042,1.527,0.071,113.75,1.625,12.025,3.25,27.75,0.317,32.522,0.236,3.793,0.225,3.866,0.065,Длина профиля оптимальна.; Ошибка FWHM (1.1%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (5.9%) в норме.,34,0.56890909090896,0.5061545454545353,0.28963136943343915,0.2164285798130397,0.3093579321108306,0.2220412803059136,0.38153155853728443,0.3174481534989443,0.08535454545454257
spool 0.001_35_Spooled files.tif,358.975,0.202,274.419,0.041,1.382,0.069,113.75,1.625,12.025,3.25,30.559,0.219,32.274,0.209,4.06,0.239,3.918,0.082,Длина профиля оптимальна.; Ошибка FWHM (0.7%) в норме.,Длина профиля < размера пятна — FWHM занижен!; Ошибка FWHM (5.9%) в норме.,35,0.2229090909089564,0.7691545454545121,0.2930551657280405,0.21623674562823336,0.31968473557536226,0.22759905570957295,0.3050218519383313,0.2979233628970533,0.03335454545454253
